	ADVI	ADVN	ADVP	ADVS	BEGIN	CFQC	CLTV	CMTR	CNIT	CVBL	DCNM	DDAC	DDAN	DDAQ	DDBQ	DIAC	DIAQ	DIBQ	DONM	EAFF	EITT	END	FIXN	FIXV	JCMP	JCRG	JSBR	NCMN	NCNM	NEG	NLBL	NONM	NPRP	NTTL	PDMN	PNTR	PPRS	PREL	PUNC	RPRE	VACT	VATT	VSTA	XVAE	XVAM	XVBB	XVBM	XVMM
DDAQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	1	1	0	3	0	0	0	0	0
DDBQ	1	6	0	0	0	8	18	0	65	0	66	1	1	0	7	0	0	19	0	0	0	5	8	1	0	0	2	146	2	2	0	0	3	0	0	0	0	4	213	23	4	5	6	0	0	0	1	0
DIAC	0	5	0	0	0	0	1	0	4	0	0	4	1	0	0	2	0	0	0	1	1	286	3	1	0	8	6	17	1	1	0	0	0	0	3	0	0	48	1030	44	15	1	17	10	5	0	6	2
DIAQ	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0
DIBQ	1	4	0	0	0	22	95	11	422	0	8	1	1	0	0	0	0	9	0	0	0	2	1	0	2	0	0	353	0	2	0	0	1	0	1	0	7	0	360	3	1	0	6	4	0	0	2	0
DONM	0	2	0	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	468	2	0	0	6	9	6	0	0	1	0	0	0	0	0	1	15	1536	67	19	0	37	4	12	0	23	0
EAFF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0
EITT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	1	0	0	2	4	1	0	1	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0
END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIXN	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	40	0	0	22	18	0	25	0	0	1	0	0	0	0	25	161	2	11128	1375	1267	0	132	0	8	1
FIXV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	2	0	0	6	342	114	0	0	0	0	0
JCMP	0	1	0	0	0	0	2	0	1	0	17	4	0	0	0	0	0	1	0	0	0	27	25	0	0	3	4	136	2	0	0	0	1	0	0	0	0	13	171	21	3	1	3	2	0	0	1	0
JCRG	1	34	0	21	0	0	9	1	8	0	7	1	3	0	20	4	0	30	8	0	0	15	595	2	3	13	272	2832	4	97	0	0	78	2	7	0	19	46	1145	327	1743	65	493	5	171	0	272	53
JSBR	1	57	0	23	0	0	3	1	5	0	0	1	2	0	13	1	0	50	0	0	0	440	673	4	1	9	234	1858	4	172	0	0	43	2	14	3	84	11	1189	308	3390	103	2163	14	445	0	1083	156
NCMN	25	403	21	14	0	41	195	2	221	0	207	1584	359	9	229	1041	3	547	1479	1	6	7715	2170	165	30	1910	1085	10969	76	238	14	3	503	0	37	27	44	4601	22629	8624	2899	2255	1943	1138	507	1	889	99
NCNM	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	565	1	0	0	2	0	13	0	0	3	0	0	0	0	0	1	0	1414	17	1	4	3	3	3	0	0	0
NEG	0	32	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	18	3	0	1	2	15	20	0	0	0	0	0	0	0	0	0	0	9	3	210	100	511	8	183	0	6	110
NLBL	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	87	1	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	3430	0	4	0	3	0	0	0	2	0
NONM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
NPRP	0	3	0	1	0	0	3	0	1	0	0	16	6	0	4	1	0	8	0	1	0	1111	5	4	0	59	43	64	1	3	1	0	15	0	5	0	2	67	2955	125	41	5	83	37	47	0	45	10
NTTL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	360	52	0	0	0	0	97	0	0	0	0	0	0	0	0	0
PDMN	0	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	4	0	0	0	336	0	7	0	7	17	2	0	4	0	0	0	0	1	1	2	3	90	33	13	1	52	19	5	0	32	4
PNTR	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	62	3	0	0	0	2	1	0	0	0	0	0	0	0	0	1	3	16	7	8	0	4	4	0	0	1	2
PPRS	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	30	0	0	0	2	31	3	0	11	0	0	7	0	5	0	0	36	32	9	131	2	43	6	66	0	122	24
PREL	3	22	1	4	0	1	3	0	0	0	4	3	0	0	0	1	0	11	0	0	0	2	50	2	0	0	10	365	1	117	1	0	21	0	3	1	24	5	90	51	2383	383	2391	2	346	0	402	130
PUNC	4	147	7	27	0	68	222	787	634	2	3497	280	54	0	59	59	0	127	186	1	3	1905	1471	91	18	3085	2304	17804	1386	105	512	2	1738	188	48	6	115	1241	12228	3507	2567	187	2794	580	647	0	1265	195
RPRE	2	43	0	3	0	16	29	11	34	0	40	6	1	0	50	6	0	278	11	0	0	141	4031	3	2	35	15	14346	13	9	1	0	468	1	72	3	64	53	3649	223	344	26	72	21	9	0	17	0
VACT	30	704	24	10	0	46	19	1	30	0	14	206	66	0	78	36	1	123	9	0	0	1206	2632	127	5	1085	1075	12642	14	68	0	0	147	2	47	7	42	237	2763	5111	2500	102	1062	2556	134	0	239	32
VATT	10	383	4	1	0	1	4	0	20	0	7	49	9	0	24	23	5	37	3	0	2	1115	29	27	187	191	121	297	0	34	0	0	2	0	8	0	1	260	1144	1262	79	66	157	231	28	0	78	12
VSTA	3	362	10	1	0	7	13	0	26	0	29	39	24	0	91	4	0	89	0	0	5	733	2095	49	21	157	464	6746	2	36	2	0	50	0	29	2	24	162	2276	2720	338	49	271	730	29	0	87	16
XVAE	9	343	14	10	0	3	1	0	2	0	9	81	23	0	63	0	1	122	0	0	8	1506	20	177	10	44	354	98	1	25	0	0	1	0	22	4	1	13	575	1566	798	82	380	226	26	0	60	10
XVAM	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	0	2	3	1	0	3	73	22	0	4	0	0	0	0	0	0	0	12	30	76	3077	22	396	4	44	0	49	12
XVBB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
XVBM	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	20	16	0	269	0	0	0	0	0	0	0	2	16	13	2250	59	1957	2	633	1	97	511
XVMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	8	0	12	0	0	0	0	0	0	0	0	14	3	800	13	573	0	36	0	3	17
